Date,Time,City,Location,Latitude,Longitude,Direction,Type,Lanes_Blocked,Involved,Hour,DayOfWeek,Month,Year,YearMonth,Incident_Category
2018-08-21,6:41 AM,Quezon City,EDSA NEPA Q-MART,14.627928,121.047259,NB,VEHICULAR ACCIDENT,1.0,BUS AND CAR,6.0,Tuesday,8,2018,2018-08,Accident
2018-08-21,6:42 AM,Quezon City,EDSA P. TUAZON,14.616404,121.052548,SB,VEHICULAR ACCIDENT,1.0,2 SUV'S,6.0,Tuesday,8,2018,2018-08,Accident
2018-08-21,6:48 AM,Quezon City,C5 GREENMEADOWS,14.601442,121.079351,SB,VEHICULAR ACCIDENT,1.0,CAR AND MC,6.0,Tuesday,8,2018,2018-08,Accident
2018-08-21,7:16 AM,Quezon City,COMMONWEALTH LUZON,14.66533,121.070469,WB,VEHICULAR ACCIDENT,1.0,SUV AND PUJ,7.0,Tuesday,8,2018,2018-08,Accident
2018-08-21,7:20 AM,Quezon City,LUZON F/O,14.665241,121.070339,SB,VEHICULAR ACCIDENT,1.0,CAR AND SUV,7.0,Tuesday,8,2018,2018-08,Accident
2018-08-21,7:21 AM,Quezon City,ELLIPTICAL,14.65424,121.049788,DAR,VEHICULAR ACCIDENT,1.0,CAR AND VAN,7.0,Tuesday,8,2018,2018-08,Accident
2018-08-21,7:27 AM,Quezon City,EDSA P. TUAZON TUNNEL,14.616404,121.052548,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,7.0,Tuesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,8:15 AM,Makati City,EDSA ESTRELLA,14.559818,121.040737,SB,VEHICULAR ACCIDENT,1.0,CAR AND AUV,8.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,8:35 AM,Mandaluyong,EDSA RELIANCE,14.576702,121.050365,SB,VEHICULAR ACCIDENT,1.0,CAR AND MC,8.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,8:58 AM,Quezon City,QUEZON AVE. AGHAM,14.646323,121.040861,WB,VEHICULAR ACCIDENT,1.0,CAR AND AUV,8.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,8:59 AM,Pasay City,ROXAS BLVD. BUENDIA AVE.,14.552294,120.989491,NB,VEHICULAR ACCIDENT,1.0,CAR AND BUS,8.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,9:07 AM,Quezon City,MINDANAO ROAD 20,14.671786,121.032319,NB,ONGOING DPWH ROAD PATCHING,1.0,,9.0,Wednesday,8,2018,2018-08,Other
2018-08-22,9:32 AM,Quezon City,B. SERRANO KATIPUNAN TUNNEL,14.61474,121.070685,SB,STALLED VAN DUE TO MECHANICAL PROBLEM,1.0,VAN,9.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,10:15 AM,Makati City,EDSA BUENDIA,14.554949,121.034967,SB,VEHICULAR ACCIDENT,1.0,TAXI AND BUS,10.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,10:37 AM,Makati City,EDSA BUENDIA SPLIT,14.555822,121.035928,SB,VEHICULAR ACCIDENT,1.0,CAR AND SUV,10.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,10:51 AM,Makati City,EDSA PET PLANS,14.561892000000002,121.04307,SB,VEHICULAR ACCIDENT,1.0,CAR AND VAN,10.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,10:58 AM,Quezon City,C5 LIBIS,14.603015,121.079256,NB,VEHICULAR ACCIDENT,1.0,PICK UP ELF TRUCK,10.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,1:40 PM,Mandaluyong,EDSA STARMALL,14.582431,121.054467,SB,VEHICULAR ACCIDENT,1.0,2 BUSES,13.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,2:01 PM,Quezon City,ELLIPTICAL,14.65424,121.049788,,STALLED JEEP DUE TO MECHANICAL DEFECT,1.0,JEEP,14.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,2:05 PM,Mandaluyong,EDSA QUEZON AVENUE FLYOVER,14.582431,121.054467,NB,VEHICULAR ACCIDENT,1.0,MOTORCYCLE,14.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,2:13 PM,Quezon City,ELLIPTICAL,14.65424,121.049788,,VEHICULAR ACCIDENT,1.0,VAN AND CAR,14.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,2:21 PM,Pasay City,ROXAS BLVD. P.OCAMPO,14.559551,120.987075,SB,MULTIPLE COLLISION,1.0,"2 VAN, AUV AND TAXI",14.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,2:43 PM,Quezon City,AURORA BLVD. KATIPUNAN,14.631692,121.074217,EB,STALLED TRUCK DUE TO MECHANICAL DEFECT,1.0,TRUCK,14.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,2:44 PM,Quezon City,KATIPUNAN ATENEO,14.638481,121.07453999999998,SB,STALLED TRUCK DUE TO MECHANICAL DEFECT KATIPUNAN,1.0,TRUCK,14.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,2:50 PM,Quezon City,AURORA BLVD. KATIPUNAN,14.631692,121.074217,WB,VEHICULAR ACCIDENT,1.0,VAN AND MOTORCYCLE,14.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,2:50 PM,,MARCOS HIGHWAY TOWN AND COUNTRY,14.621657999999998,121.106498,EB,VEHICULAR ACCIDENT,1.0,ELF TRUCK AND MOTORCYCLE,14.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,3:31 PM,Quezon City,EDSA MONTE DE PIEDAD,14.62385,121.049123,,STALLED BUS DUE TO MECHANICAL DEFECT,1.0,BUS,15.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,3:47 PM,Quezon City,COMMONWEALTH ATHERTON,14.708553,121.062717,EB,VEHICULAR ACCIDENT COMMONWEALTH,1.0,MOTORCYCLE AND PEDESTRIAN,15.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,4:18 PM,Makati City,EDSA BUENDIA,14.554949,121.034967,NB,VEHICULAR ACCIDENT,1.0,CAR AND VAN,16.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,4:19 PM,Quezon City,KATIPUNAN CP GARCIA,14.648291,121.0744,NB,VEHICULAR ACCIDENT KAT,1.0,CAR AND TAXI,16.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,4:40 PM,Quezon City,C5 CALLE INDUSTRIA,14.605472,121.079122,NB,VEHICULAR ACCIDENT,1.0,CAR AND TAXI,16.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,4:44 PM,Quezon City,C3 A.BONIFACIO,14.643822,120.993705,WB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1.0,TRUCK,16.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,5:24 PM,Mandaluyong,EDSA STARMALL SERVICE ROAD,14.582431,121.054467,SB,VEHICULAR ACCIDENT,2.0,2 BUS,17.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,5:58 PM,Quezon City,EDSA WHITEPLAINS,14.599652,121.05969,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,17.0,Wednesday,8,2018,2018-08,Stalled Vehicle
