Day,Year,Month_Name,Ridership,Date_Str,Date,Month,DayOfWeek,YearMonth
1,2000,January,10887.0,2000-January-1,2000-01-01,1,Saturday,2000-01
2,2000,January,17612.0,2000-January-2,2000-01-02,1,Sunday,2000-01
3,2000,January,17612.0,2000-January-3,2000-01-03,1,Monday,2000-01
4,2000,January,26367.0,2000-January-4,2000-01-04,1,Tuesday,2000-01
5,2000,January,23854.0,2000-January-5,2000-01-05,1,Wednesday,2000-01
6,2000,January,21367.0,2000-January-6,2000-01-06,1,Thursday,2000-01
7,2000,January,21308.0,2000-January-7,2000-01-07,1,Friday,2000-01
8,2000,January,19364.0,2000-January-8,2000-01-08,1,Saturday,2000-01
9,2000,January,16642.0,2000-January-9,2000-01-09,1,Sunday,2000-01
10,2000,January,16642.0,2000-January-10,2000-01-10,1,Monday,2000-01
11,2000,January,20778.0,2000-January-11,2000-01-11,1,Tuesday,2000-01
12,2000,January,20921.0,2000-January-12,2000-01-12,1,Wednesday,2000-01
13,2000,January,20632.0,2000-January-13,2000-01-13,1,Thursday,2000-01
14,2000,January,25602.0,2000-January-14,2000-01-14,1,Friday,2000-01
15,2000,January,22530.0,2000-January-15,2000-01-15,1,Saturday,2000-01
16,2000,January,12051.0,2000-January-16,2000-01-16,1,Sunday,2000-01
17,2000,January,25874.0,2000-January-17,2000-01-17,1,Monday,2000-01
18,2000,January,22912.0,2000-January-18,2000-01-18,1,Tuesday,2000-01
19,2000,January,25614.0,2000-January-19,2000-01-19,1,Wednesday,2000-01
20,2000,January,25110.0,2000-January-20,2000-01-20,1,Thursday,2000-01
21,2000,January,26247.0,2000-January-21,2000-01-21,1,Friday,2000-01
22,2000,January,15524.0,2000-January-22,2000-01-22,1,Saturday,2000-01
23,2000,January,10251.0,2000-January-23,2000-01-23,1,Sunday,2000-01
24,2000,January,24717.0,2000-January-24,2000-01-24,1,Monday,2000-01
25,2000,January,19445.0,2000-January-25,2000-01-25,1,Tuesday,2000-01
26,2000,January,27146.0,2000-January-26,2000-01-26,1,Wednesday,2000-01
27,2000,January,26934.0,2000-January-27,2000-01-27,1,Thursday,2000-01
28,2000,January,32452.0,2000-January-28,2000-01-28,1,Friday,2000-01
29,2000,January,19039.0,2000-January-29,2000-01-29,1,Saturday,2000-01
30,2000,January,12312.0,2000-January-30,2000-01-30,1,Sunday,2000-01
31,2000,January,31370.0,2000-January-31,2000-01-31,1,Monday,2000-01
1,2001,January,62000.0,2001-January-1,2001-01-01,1,Monday,2001-01
2,2001,January,178150.0,2001-January-2,2001-01-02,1,Tuesday,2001-01
3,2001,January,222181.0,2001-January-3,2001-01-03,1,Wednesday,2001-01
4,2001,January,220567.0,2001-January-4,2001-01-04,1,Thursday,2001-01
5,2001,January,232398.0,2001-January-5,2001-01-05,1,Friday,2001-01
6,2001,January,165685.0,2001-January-6,2001-01-06,1,Saturday,2001-01
7,2001,January,99610.0,2001-January-7,2001-01-07,1,Sunday,2001-01
8,2001,January,236638.0,2001-January-8,2001-01-08,1,Monday,2001-01
9,2001,January,239770.0,2001-January-9,2001-01-09,1,Tuesday,2001-01
10,2001,January,240088.0,2001-January-10,2001-01-10,1,Wednesday,2001-01
11,2001,January,230610.0,2001-January-11,2001-01-11,1,Thursday,2001-01
12,2001,January,246070.0,2001-January-12,2001-01-12,1,Friday,2001-01
13,2001,January,169616.0,2001-January-13,2001-01-13,1,Saturday,2001-01
14,2001,January,105571.0,2001-January-14,2001-01-14,1,Sunday,2001-01
15,2001,January,250724.0,2001-January-15,2001-01-15,1,Monday,2001-01
16,2001,January,252505.0,2001-January-16,2001-01-16,1,Tuesday,2001-01
17,2001,January,321273.0,2001-January-17,2001-01-17,1,Wednesday,2001-01
18,2001,January,321755.0,2001-January-18,2001-01-18,1,Thursday,2001-01
19,2001,January,374608.0,2001-January-19,2001-01-19,1,Friday,2001-01
20,2001,January,222130.0,2001-January-20,2001-01-20,1,Saturday,2001-01
21,2001,January,134090.0,2001-January-21,2001-01-21,1,Sunday,2001-01
22,2001,January,258103.0,2001-January-22,2001-01-22,1,Monday,2001-01
23,2001,January,250522.0,2001-January-23,2001-01-23,1,Tuesday,2001-01
24,2001,January,254323.0,2001-January-24,2001-01-24,1,Wednesday,2001-01
25,2001,January,247428.0,2001-January-25,2001-01-25,1,Thursday,2001-01
26,2001,January,263307.0,2001-January-26,2001-01-26,1,Friday,2001-01
27,2001,January,190275.0,2001-January-27,2001-01-27,1,Saturday,2001-01
28,2001,January,115071.0,2001-January-28,2001-01-28,1,Sunday,2001-01
29,2001,January,233654.0,2001-January-29,2001-01-29,1,Monday,2001-01
30,2001,January,244788.0,2001-January-30,2001-01-30,1,Tuesday,2001-01
31,2001,January,267176.0,2001-January-31,2001-01-31,1,Wednesday,2001-01
1,2002,January,86441.0,2002-January-1,2002-01-01,1,Tuesday,2002-01
2,2002,January,246979.0,2002-January-2,2002-01-02,1,Wednesday,2002-01
3,2002,January,273626.0,2002-January-3,2002-01-03,1,Thursday,2002-01
4,2002,January,293265.0,2002-January-4,2002-01-04,1,Friday,2002-01
5,2002,January,210808.0,2002-January-5,2002-01-05,1,Saturday,2002-01
6,2002,January,132689.0,2002-January-6,2002-01-06,1,Sunday,2002-01
7,2002,January,312448.0,2002-January-7,2002-01-07,1,Monday,2002-01
8,2002,January,304930.0,2002-January-8,2002-01-08,1,Tuesday,2002-01
9,2002,January,315092.0,2002-January-9,2002-01-09,1,Wednesday,2002-01
10,2002,January,294903.0,2002-January-10,2002-01-10,1,Thursday,2002-01
11,2002,January,307444.0,2002-January-11,2002-01-11,1,Friday,2002-01
12,2002,January,219300.0,2002-January-12,2002-01-12,1,Saturday,2002-01
13,2002,January,132476.0,2002-January-13,2002-01-13,1,Sunday,2002-01
14,2002,January,307682.0,2002-January-14,2002-01-14,1,Monday,2002-01
15,2002,January,320083.0,2002-January-15,2002-01-15,1,Tuesday,2002-01
16,2002,January,337343.0,2002-January-16,2002-01-16,1,Wednesday,2002-01
17,2002,January,308668.0,2002-January-17,2002-01-17,1,Thursday,2002-01
18,2002,January,336326.0,2002-January-18,2002-01-18,1,Friday,2002-01
19,2002,January,231708.0,2002-January-19,2002-01-19,1,Saturday,2002-01
20,2002,January,147252.0,2002-January-20,2002-01-20,1,Sunday,2002-01
21,2002,January,214419.0,2002-January-21,2002-01-21,1,Monday,2002-01
22,2002,January,305054.0,2002-January-22,2002-01-22,1,Tuesday,2002-01
23,2002,January,312186.0,2002-January-23,2002-01-23,1,Wednesday,2002-01
24,2002,January,297822.0,2002-January-24,2002-01-24,1,Thursday,2002-01
25,2002,January,318136.0,2002-January-25,2002-01-25,1,Friday,2002-01
26,2002,January,224465.0,2002-January-26,2002-01-26,1,Saturday,2002-01
27,2002,January,134590.0,2002-January-27,2002-01-27,1,Sunday,2002-01
28,2002,January,311720.0,2002-January-28,2002-01-28,1,Monday,2002-01
29,2002,January,303775.0,2002-January-29,2002-01-29,1,Tuesday,2002-01
30,2002,January,312780.0,2002-January-30,2002-01-30,1,Wednesday,2002-01
31,2002,January,306314.0,2002-January-31,2002-01-31,1,Thursday,2002-01
1,2003,January,101989.0,2003-January-1,2003-01-01,1,Wednesday,2003-01
2,2003,January,257925.0,2003-January-2,2003-01-02,1,Thursday,2003-01
3,2003,January,296717.0,2003-January-3,2003-01-03,1,Friday,2003-01
4,2003,January,213976.0,2003-January-4,2003-01-04,1,Saturday,2003-01
5,2003,January,143929.0,2003-January-5,2003-01-05,1,Sunday,2003-01
6,2003,January,354554.0,2003-January-6,2003-01-06,1,Monday,2003-01
7,2003,January,347729.0,2003-January-7,2003-01-07,1,Tuesday,2003-01
8,2003,January,359505.0,2003-January-8,2003-01-08,1,Wednesday,2003-01
9,2003,January,343613.0,2003-January-9,2003-01-09,1,Thursday,2003-01
10,2003,January,366173.0,2003-January-10,2003-01-10,1,Friday,2003-01
11,2003,January,248811.0,2003-January-11,2003-01-11,1,Saturday,2003-01
12,2003,January,151477.0,2003-January-12,2003-01-12,1,Sunday,2003-01
13,2003,January,359098.0,2003-January-13,2003-01-13,1,Monday,2003-01
14,2003,January,349846.0,2003-January-14,2003-01-14,1,Tuesday,2003-01
15,2003,January,372596.0,2003-January-15,2003-01-15,1,Wednesday,2003-01
16,2003,January,350975.0,2003-January-16,2003-01-16,1,Thursday,2003-01
17,2003,January,372811.0,2003-January-17,2003-01-17,1,Friday,2003-01
18,2003,January,260538.0,2003-January-18,2003-01-18,1,Saturday,2003-01
19,2003,January,156063.0,2003-January-19,2003-01-19,1,Sunday,2003-01
20,2003,January,429982.0,2003-January-20,2003-01-20,1,Monday,2003-01
21,2003,January,346703.0,2003-January-21,2003-01-21,1,Tuesday,2003-01
22,2003,January,360902.0,2003-January-22,2003-01-22,1,Wednesday,2003-01
23,2003,January,340880.0,2003-January-23,2003-01-23,1,Thursday,2003-01
24,2003,January,365795.0,2003-January-24,2003-01-24,1,Friday,2003-01
25,2003,January,256863.0,2003-January-25,2003-01-25,1,Saturday,2003-01
26,2003,January,152231.0,2003-January-26,2003-01-26,1,Sunday,2003-01
27,2003,January,361442.0,2003-January-27,2003-01-27,1,Monday,2003-01
28,2003,January,346599.0,2003-January-28,2003-01-28,1,Tuesday,2003-01
29,2003,January,365639.0,2003-January-29,2003-01-29,1,Wednesday,2003-01
30,2003,January,344274.0,2003-January-30,2003-01-30,1,Thursday,2003-01
31,2003,January,383660.0,2003-January-31,2003-01-31,1,Friday,2003-01
1,2004,January,92165.0,2004-January-1,2004-01-01,1,Thursday,2004-01
2,2004,January,157715.0,2004-January-2,2004-01-02,1,Friday,2004-01
3,2004,January,175804.0,2004-January-3,2004-01-03,1,Saturday,2004-01
4,2004,January,148092.0,2004-January-4,2004-01-04,1,Sunday,2004-01
5,2004,January,376392.0,2004-January-5,2004-01-05,1,Monday,2004-01
6,2004,January,371051.0,2004-January-6,2004-01-06,1,Tuesday,2004-01
7,2004,January,386262.0,2004-January-7,2004-01-07,1,Wednesday,2004-01
8,2004,January,370463.0,2004-January-8,2004-01-08,1,Thursday,2004-01
9,2004,January,411869.0,2004-January-9,2004-01-09,1,Friday,2004-01
10,2004,January,279988.0,2004-January-10,2004-01-10,1,Saturday,2004-01
11,2004,January,164258.0,2004-January-11,2004-01-11,1,Sunday,2004-01
12,2004,January,394666.0,2004-January-12,2004-01-12,1,Monday,2004-01
13,2004,January,369536.0,2004-January-13,2004-01-13,1,Tuesday,2004-01
14,2004,January,386971.0,2004-January-14,2004-01-14,1,Wednesday,2004-01
15,2004,January,395867.0,2004-January-15,2004-01-15,1,Thursday,2004-01
16,2004,January,415662.0,2004-January-16,2004-01-16,1,Friday,2004-01
17,2004,January,283707.0,2004-January-17,2004-01-17,1,Saturday,2004-01
18,2004,January,174198.0,2004-January-18,2004-01-18,1,Sunday,2004-01
19,2004,January,398963.0,2004-January-19,2004-01-19,1,Monday,2004-01
20,2004,January,412825.0,2004-January-20,2004-01-20,1,Tuesday,2004-01
21,2004,January,403467.0,2004-January-21,2004-01-21,1,Wednesday,2004-01
22,2004,January,379296.0,2004-January-22,2004-01-22,1,Thursday,2004-01
23,2004,January,403277.0,2004-January-23,2004-01-23,1,Friday,2004-01
24,2004,January,279069.0,2004-January-24,2004-01-24,1,Saturday,2004-01
25,2004,January,163337.0,2004-January-25,2004-01-25,1,Sunday,2004-01
26,2004,January,395754.0,2004-January-26,2004-01-26,1,Monday,2004-01
27,2004,January,391710.0,2004-January-27,2004-01-27,1,Tuesday,2004-01
28,2004,January,401863.0,2004-January-28,2004-01-28,1,Wednesday,2004-01
29,2004,January,377518.0,2004-January-29,2004-01-29,1,Thursday,2004-01
30,2004,January,396464.0,2004-January-30,2004-01-30,1,Friday,2004-01
31,2004,January,292983.0,2004-January-31,2004-01-31,1,Saturday,2004-01
1,2005,January,105539.0,2005-January-1,2005-01-01,1,Saturday,2005-01
2,2005,January,159458.0,2005-January-2,2005-01-02,1,Sunday,2005-01
3,2005,January,376333.0,2005-January-3,2005-01-03,1,Monday,2005-01
4,2005,January,382150.0,2005-January-4,2005-01-04,1,Tuesday,2005-01
5,2005,January,412453.0,2005-January-5,2005-01-05,1,Wednesday,2005-01
6,2005,January,373809.0,2005-January-6,2005-01-06,1,Thursday,2005-01
7,2005,January,412006.0,2005-January-7,2005-01-07,1,Friday,2005-01
8,2005,January,297012.0,2005-January-8,2005-01-08,1,Saturday,2005-01
9,2005,January,184858.0,2005-January-9,2005-01-09,1,Sunday,2005-01
10,2005,January,409501.0,2005-January-10,2005-01-10,1,Monday,2005-01
11,2005,January,410580.0,2005-January-11,2005-01-11,1,Tuesday,2005-01
12,2005,January,418657.0,2005-January-12,2005-01-12,1,Wednesday,2005-01
13,2005,January,415148.0,2005-January-13,2005-01-13,1,Thursday,2005-01
14,2005,January,432293.0,2005-January-14,2005-01-14,1,Friday,2005-01
15,2005,January,304027.0,2005-January-15,2005-01-15,1,Saturday,2005-01
16,2005,January,197515.0,2005-January-16,2005-01-16,1,Sunday,2005-01
17,2005,January,409539.0,2005-January-17,2005-01-17,1,Monday,2005-01
18,2005,January,414260.0,2005-January-18,2005-01-18,1,Tuesday,2005-01
19,2005,January,411422.0,2005-January-19,2005-01-19,1,Wednesday,2005-01
20,2005,January,379903.0,2005-January-20,2005-01-20,1,Thursday,2005-01
21,2005,January,447254.0,2005-January-21,2005-01-21,1,Friday,2005-01
22,2005,January,297236.0,2005-January-22,2005-01-22,1,Saturday,2005-01
23,2005,January,188291.0,2005-January-23,2005-01-23,1,Sunday,2005-01
24,2005,January,409712.0,2005-January-24,2005-01-24,1,Monday,2005-01
25,2005,January,417794.0,2005-January-25,2005-01-25,1,Tuesday,2005-01
26,2005,January,417506.0,2005-January-26,2005-01-26,1,Wednesday,2005-01
27,2005,January,393167.0,2005-January-27,2005-01-27,1,Thursday,2005-01
28,2005,January,415528.0,2005-January-28,2005-01-28,1,Friday,2005-01
29,2005,January,301018.0,2005-January-29,2005-01-29,1,Saturday,2005-01
30,2005,January,169073.0,2005-January-30,2005-01-30,1,Sunday,2005-01
31,2005,January,404493.0,2005-January-31,2005-01-31,1,Monday,2005-01
1,2006,January,134830.0,2006-January-1,2006-01-01,1,Sunday,2006-01
2,2006,January,333588.0,2006-January-2,2006-01-02,1,Monday,2006-01
3,2006,January,407858.0,2006-January-3,2006-01-03,1,Tuesday,2006-01
4,2006,January,412720.0,2006-January-4,2006-01-04,1,Wednesday,2006-01
5,2006,January,401756.0,2006-January-5,2006-01-05,1,Thursday,2006-01
6,2006,January,433718.0,2006-January-6,2006-01-06,1,Friday,2006-01
7,2006,January,313673.0,2006-January-7,2006-01-07,1,Saturday,2006-01
8,2006,January,203674.0,2006-January-8,2006-01-08,1,Sunday,2006-01
9,2006,January,398250.0,2006-January-9,2006-01-09,1,Monday,2006-01
10,2006,January,422558.0,2006-January-10,2006-01-10,1,Tuesday,2006-01
11,2006,January,437833.0,2006-January-11,2006-01-11,1,Wednesday,2006-01
12,2006,January,420555.0,2006-January-12,2006-01-12,1,Thursday,2006-01
13,2006,January,435655.0,2006-January-13,2006-01-13,1,Friday,2006-01
14,2006,January,322667.0,2006-January-14,2006-01-14,1,Saturday,2006-01
15,2006,January,211707.0,2006-January-15,2006-01-15,1,Sunday,2006-01
16,2006,January,441462.0,2006-January-16,2006-01-16,1,Monday,2006-01
17,2006,January,430893.0,2006-January-17,2006-01-17,1,Tuesday,2006-01
18,2006,January,439413.0,2006-January-18,2006-01-18,1,Wednesday,2006-01
19,2006,January,425377.0,2006-January-19,2006-01-19,1,Thursday,2006-01
20,2006,January,451019.0,2006-January-20,2006-01-20,1,Friday,2006-01
21,2006,January,303202.0,2006-January-21,2006-01-21,1,Saturday,2006-01
22,2006,January,199842.0,2006-January-22,2006-01-22,1,Sunday,2006-01
23,2006,January,434048.0,2006-January-23,2006-01-23,1,Monday,2006-01
24,2006,January,425314.0,2006-January-24,2006-01-24,1,Tuesday,2006-01
25,2006,January,429730.0,2006-January-25,2006-01-25,1,Wednesday,2006-01
26,2006,January,415368.0,2006-January-26,2006-01-26,1,Thursday,2006-01
27,2006,January,441678.0,2006-January-27,2006-01-27,1,Friday,2006-01
28,2006,January,319203.0,2006-January-28,2006-01-28,1,Saturday,2006-01
29,2006,January,201921.0,2006-January-29,2006-01-29,1,Sunday,2006-01
30,2006,January,433226.0,2006-January-30,2006-01-30,1,Monday,2006-01
31,2006,January,455715.0,2006-January-31,2006-01-31,1,Tuesday,2006-01
1,2007,January,141016.0,2007-January-1,2007-01-01,1,Monday,2007-01
2,2007,January,355995.0,2007-January-2,2007-01-02,1,Tuesday,2007-01
3,2007,January,441916.0,2007-January-3,2007-01-03,1,Wednesday,2007-01
4,2007,January,406497.0,2007-January-4,2007-01-04,1,Thursday,2007-01
5,2007,January,451797.0,2007-January-5,2007-01-05,1,Friday,2007-01
6,2007,January,334931.0,2007-January-6,2007-01-06,1,Saturday,2007-01
7,2007,January,210202.0,2007-January-7,2007-01-07,1,Sunday,2007-01
8,2007,January,456532.0,2007-January-8,2007-01-08,1,Monday,2007-01
9,2007,January,457383.0,2007-January-9,2007-01-09,1,Tuesday,2007-01
10,2007,January,457303.0,2007-January-10,2007-01-10,1,Wednesday,2007-01
11,2007,January,418053.0,2007-January-11,2007-01-11,1,Thursday,2007-01
12,2007,January,475193.0,2007-January-12,2007-01-12,1,Friday,2007-01
13,2007,January,345791.0,2007-January-13,2007-01-13,1,Saturday,2007-01
14,2007,January,201173.0,2007-January-14,2007-01-14,1,Sunday,2007-01
15,2007,January,453773.0,2007-January-15,2007-01-15,1,Monday,2007-01
16,2007,January,447462.0,2007-January-16,2007-01-16,1,Tuesday,2007-01
17,2007,January,472621.0,2007-January-17,2007-01-17,1,Wednesday,2007-01
18,2007,January,437873.0,2007-January-18,2007-01-18,1,Thursday,2007-01
19,2007,January,455903.0,2007-January-19,2007-01-19,1,Friday,2007-01
20,2007,January,334262.0,2007-January-20,2007-01-20,1,Saturday,2007-01
21,2007,January,214997.0,2007-January-21,2007-01-21,1,Sunday,2007-01
22,2007,January,358440.0,2007-January-22,2007-01-22,1,Monday,2007-01
23,2007,January,439600.0,2007-January-23,2007-01-23,1,Tuesday,2007-01
24,2007,January,449650.0,2007-January-24,2007-01-24,1,Wednesday,2007-01
25,2007,January,430301.0,2007-January-25,2007-01-25,1,Thursday,2007-01
26,2007,January,465514.0,2007-January-26,2007-01-26,1,Friday,2007-01
27,2007,January,329624.0,2007-January-27,2007-01-27,1,Saturday,2007-01
28,2007,January,212412.0,2007-January-28,2007-01-28,1,Sunday,2007-01
29,2007,January,445072.0,2007-January-29,2007-01-29,1,Monday,2007-01
30,2007,January,442416.0,2007-January-30,2007-01-30,1,Tuesday,2007-01
31,2007,January,459531.0,2007-January-31,2007-01-31,1,Wednesday,2007-01
1,2008,January,110192.0,2008-January-1,2008-01-01,1,Tuesday,2008-01
2,2008,January,397889.0,2008-January-2,2008-01-02,1,Wednesday,2008-01
3,2008,January,435271.0,2008-January-3,2008-01-03,1,Thursday,2008-01
4,2008,January,454534.0,2008-January-4,2008-01-04,1,Friday,2008-01
5,2008,January,330697.0,2008-January-5,2008-01-05,1,Saturday,2008-01
6,2008,January,218580.0,2008-January-6,2008-01-06,1,Sunday,2008-01
7,2008,January,475154.0,2008-January-7,2008-01-07,1,Monday,2008-01
8,2008,January,473893.0,2008-January-8,2008-01-08,1,Tuesday,2008-01
9,2008,January,490839.0,2008-January-9,2008-01-09,1,Wednesday,2008-01
10,2008,January,465305.0,2008-January-10,2008-01-10,1,Thursday,2008-01
11,2008,January,502950.0,2008-January-11,2008-01-11,1,Friday,2008-01
12,2008,January,328346.0,2008-January-12,2008-01-12,1,Saturday,2008-01
13,2008,January,221956.0,2008-January-13,2008-01-13,1,Sunday,2008-01
14,2008,January,477105.0,2008-January-14,2008-01-14,1,Monday,2008-01
15,2008,January,480501.0,2008-January-15,2008-01-15,1,Tuesday,2008-01
16,2008,January,498088.0,2008-January-16,2008-01-16,1,Wednesday,2008-01
17,2008,January,463965.0,2008-January-17,2008-01-17,1,Thursday,2008-01
18,2008,January,471918.0,2008-January-18,2008-01-18,1,Friday,2008-01
19,2008,January,366345.0,2008-January-19,2008-01-19,1,Saturday,2008-01
20,2008,January,225488.0,2008-January-20,2008-01-20,1,Sunday,2008-01
21,2008,January,475249.0,2008-January-21,2008-01-21,1,Monday,2008-01
22,2008,January,475118.0,2008-January-22,2008-01-22,1,Tuesday,2008-01
23,2008,January,477850.0,2008-January-23,2008-01-23,1,Wednesday,2008-01
24,2008,January,474477.0,2008-January-24,2008-01-24,1,Thursday,2008-01
25,2008,January,497828.0,2008-January-25,2008-01-25,1,Friday,2008-01
26,2008,January,353162.0,2008-January-26,2008-01-26,1,Saturday,2008-01
27,2008,January,217603.0,2008-January-27,2008-01-27,1,Sunday,2008-01
28,2008,January,478450.0,2008-January-28,2008-01-28,1,Monday,2008-01
29,2008,January,468649.0,2008-January-29,2008-01-29,1,Tuesday,2008-01
30,2008,January,478915.0,2008-January-30,2008-01-30,1,Wednesday,2008-01
31,2008,January,473944.0,2008-January-31,2008-01-31,1,Thursday,2008-01
1,2009,January,127298.0,2009-January-1,2009-01-01,1,Thursday,2009-01
2,2009,January,229137.0,2009-January-2,2009-01-02,1,Friday,2009-01
3,2009,January,474086.0,2009-January-3,2009-01-03,1,Saturday,2009-01
4,2009,January,199787.0,2009-January-4,2009-01-04,1,Sunday,2009-01
5,2009,January,451847.0,2009-January-5,2009-01-05,1,Monday,2009-01
6,2009,January,469569.0,2009-January-6,2009-01-06,1,Tuesday,2009-01
7,2009,January,485825.0,2009-January-7,2009-01-07,1,Wednesday,2009-01
8,2009,January,453748.0,2009-January-8,2009-01-08,1,Thursday,2009-01
9,2009,January,498750.0,2009-January-9,2009-01-09,1,Friday,2009-01
10,2009,January,350329.0,2009-January-10,2009-01-10,1,Saturday,2009-01
11,2009,January,247967.0,2009-January-11,2009-01-11,1,Sunday,2009-01
12,2009,January,469719.0,2009-January-12,2009-01-12,1,Monday,2009-01
13,2009,January,470825.0,2009-January-13,2009-01-13,1,Tuesday,2009-01
14,2009,January,511247.0,2009-January-14,2009-01-14,1,Wednesday,2009-01
15,2009,January,486483.0,2009-January-15,2009-01-15,1,Thursday,2009-01
16,2009,January,507865.0,2009-January-16,2009-01-16,1,Friday,2009-01
17,2009,January,361646.0,2009-January-17,2009-01-17,1,Saturday,2009-01
18,2009,January,230910.0,2009-January-18,2009-01-18,1,Sunday,2009-01
19,2009,January,483670.0,2009-January-19,2009-01-19,1,Monday,2009-01
20,2009,January,472034.0,2009-January-20,2009-01-20,1,Tuesday,2009-01
21,2009,January,511867.0,2009-January-21,2009-01-21,1,Wednesday,2009-01
22,2009,January,481722.0,2009-January-22,2009-01-22,1,Thursday,2009-01
23,2009,January,509402.0,2009-January-23,2009-01-23,1,Friday,2009-01
24,2009,January,354648.0,2009-January-24,2009-01-24,1,Saturday,2009-01
25,2009,January,221979.0,2009-January-25,2009-01-25,1,Sunday,2009-01
26,2009,January,479007.0,2009-January-26,2009-01-26,1,Monday,2009-01
27,2009,January,491195.0,2009-January-27,2009-01-27,1,Tuesday,2009-01
28,2009,January,490628.0,2009-January-28,2009-01-28,1,Wednesday,2009-01
29,2009,January,496042.0,2009-January-29,2009-01-29,1,Thursday,2009-01
30,2009,January,484708.0,2009-January-30,2009-01-30,1,Friday,2009-01
31,2009,January,387226.0,2009-January-31,2009-01-31,1,Saturday,2009-01
1,2010,January,139850.0,2010-January-1,2010-01-01,1,Friday,2010-01
2,2010,January,229728.0,2010-January-2,2010-01-02,1,Saturday,2010-01
3,2010,January,214940.0,2010-January-3,2010-01-03,1,Sunday,2010-01
4,2010,January,474541.0,2010-January-4,2010-01-04,1,Monday,2010-01
5,2010,January,461126.0,2010-January-5,2010-01-05,1,Tuesday,2010-01
6,2010,January,503986.0,2010-January-6,2010-01-06,1,Wednesday,2010-01
7,2010,January,467744.0,2010-January-7,2010-01-07,1,Thursday,2010-01
8,2010,January,501251.0,2010-January-8,2010-01-08,1,Friday,2010-01
9,2010,January,370554.0,2010-January-9,2010-01-09,1,Saturday,2010-01
10,2010,January,236715.0,2010-January-10,2010-01-10,1,Sunday,2010-01
11,2010,January,494796.0,2010-January-11,2010-01-11,1,Monday,2010-01
12,2010,January,490687.0,2010-January-12,2010-01-12,1,Tuesday,2010-01
13,2010,January,482394.0,2010-January-13,2010-01-13,1,Wednesday,2010-01
14,2010,January,455712.0,2010-January-14,2010-01-14,1,Thursday,2010-01
15,2010,January,494604.0,2010-January-15,2010-01-15,1,Friday,2010-01
16,2010,January,354150.0,2010-January-16,2010-01-16,1,Saturday,2010-01
17,2010,January,234140.0,2010-January-17,2010-01-17,1,Sunday,2010-01
18,2010,January,459843.0,2010-January-18,2010-01-18,1,Monday,2010-01
19,2010,January,475662.0,2010-January-19,2010-01-19,1,Tuesday,2010-01
20,2010,January,460227.0,2010-January-20,2010-01-20,1,Wednesday,2010-01
21,2010,January,486226.0,2010-January-21,2010-01-21,1,Thursday,2010-01
22,2010,January,496749.0,2010-January-22,2010-01-22,1,Friday,2010-01
23,2010,January,378219.0,2010-January-23,2010-01-23,1,Saturday,2010-01
24,2010,January,245412.0,2010-January-24,2010-01-24,1,Sunday,2010-01
25,2010,January,496653.0,2010-January-25,2010-01-25,1,Monday,2010-01
26,2010,January,482880.0,2010-January-26,2010-01-26,1,Tuesday,2010-01
27,2010,January,497846.0,2010-January-27,2010-01-27,1,Wednesday,2010-01
28,2010,January,483606.0,2010-January-28,2010-01-28,1,Thursday,2010-01
29,2010,January,501997.0,2010-January-29,2010-01-29,1,Friday,2010-01
30,2010,January,335748.0,2010-January-30,2010-01-30,1,Saturday,2010-01
31,2010,January,256353.0,2010-January-31,2010-01-31,1,Sunday,2010-01
1,2011,January,153372.0,2011-January-1,2011-01-01,1,Saturday,2011-01
2,2011,January,221945.0,2011-January-2,2011-01-02,1,Sunday,2011-01
3,2011,January,451472.0,2011-January-3,2011-01-03,1,Monday,2011-01
4,2011,January,491378.0,2011-January-4,2011-01-04,1,Tuesday,2011-01
5,2011,January,506431.0,2011-January-5,2011-01-05,1,Wednesday,2011-01
6,2011,January,476178.0,2011-January-6,2011-01-06,1,Thursday,2011-01
7,2011,January,526514.0,2011-January-7,2011-01-07,1,Friday,2011-01
8,2011,January,360176.0,2011-January-8,2011-01-08,1,Saturday,2011-01
9,2011,January,238727.0,2011-January-9,2011-01-09,1,Sunday,2011-01
10,2011,January,506415.0,2011-January-10,2011-01-10,1,Monday,2011-01
11,2011,January,509732.0,2011-January-11,2011-01-11,1,Tuesday,2011-01
12,2011,January,503228.0,2011-January-12,2011-01-12,1,Wednesday,2011-01
13,2011,January,498108.0,2011-January-13,2011-01-13,1,Thursday,2011-01
14,2011,January,521444.0,2011-January-14,2011-01-14,1,Friday,2011-01
15,2011,January,374810.0,2011-January-15,2011-01-15,1,Saturday,2011-01
16,2011,January,261578.0,2011-January-16,2011-01-16,1,Sunday,2011-01
17,2011,January,493150.0,2011-January-17,2011-01-17,1,Monday,2011-01
18,2011,January,480058.0,2011-January-18,2011-01-18,1,Tuesday,2011-01
19,2011,January,515654.0,2011-January-19,2011-01-19,1,Wednesday,2011-01
20,2011,January,475656.0,2011-January-20,2011-01-20,1,Thursday,2011-01
21,2011,January,505656.0,2011-January-21,2011-01-21,1,Friday,2011-01
22,2011,January,361916.0,2011-January-22,2011-01-22,1,Saturday,2011-01
23,2011,January,234024.0,2011-January-23,2011-01-23,1,Sunday,2011-01
24,2011,January,474550.0,2011-January-24,2011-01-24,1,Monday,2011-01
25,2011,January,512600.0,2011-January-25,2011-01-25,1,Tuesday,2011-01
26,2011,January,489507.0,2011-January-26,2011-01-26,1,Wednesday,2011-01
